%Previsao,VTMP-925,VTMP-850,VTMP-500,TEMP-850,TEMP-500,TEMP-250,PSNM-000,UMES-925,UMES-850,UMES-500,AGPL-925,ZGEO-850,ZGEO-500,ZGEO-250,UVEL-850,UVEL-500,UVEL-250,VVEL-850,VVEL-500,VVEL-250,PREC-000,PREV-000
048,    0.872,    0.866,    0.927,    0.854,    0.928,    0.920,    0.874,    0.970,    0.925,    0.899,    0.845,    0.892,    0.936,    0.956,    0.866,    0.917,    0.918,    0.832,    0.890,    0.899,      NaN,      NaN
048,    0.893,    0.867,    0.927,    0.856,    0.928,    0.919,    0.877,    0.972,    0.929,    0.901,    0.848,    0.888,    0.930,    0.953,    0.862,    0.908,    0.915,    0.830,    0.889,    0.900,      NaN,      NaN
048,    0.881,    0.861,    0.924,    0.848,    0.924,    0.919,    0.882,    0.971,    0.926,    0.890,    0.835,    0.892,    0.926,    0.950,    0.863,    0.907,    0.914,    0.843,    0.887,    0.901,      NaN,      NaN
048,    0.866,    0.858,    0.932,    0.844,    0.932,    0.922,    0.880,    0.970,    0.926,    0.896,    0.843,    0.896,    0.931,    0.954,    0.853,    0.914,    0.926,    0.835,    0.892,    0.904,      NaN,      NaN
048,    0.878,    0.861,    0.926,    0.847,    0.926,    0.919,    0.877,    0.970,    0.926,    0.896,    0.837,    0.892,    0.927,    0.950,    0.847,    0.911,    0.927,    0.833,    0.883,    0.903,      NaN,      NaN
048,    0.894,    0.873,    0.928,    0.861,    0.928,    0.921,    0.876,    0.970,    0.930,    0.896,    0.844,    0.890,    0.927,    0.950,    0.844,    0.907,    0.927,    0.831,    0.891,    0.908,      NaN,      NaN
048,    0.878,    0.865,    0.921,    0.852,    0.921,    0.919,    0.876,    0.967,    0.928,    0.890,    0.831,    0.889,    0.922,    0.944,    0.849,    0.905,    0.922,    0.845,    0.886,    0.903,      NaN,      NaN
048,    0.865,    0.868,    0.933,    0.855,    0.932,    0.926,    0.883,    0.968,    0.929,    0.905,    0.859,    0.902,    0.937,    0.956,    0.846,    0.908,    0.928,    0.844,    0.904,    0.924,      NaN,      NaN
048,    0.873,    0.871,    0.936,    0.858,    0.936,    0.928,    0.891,    0.969,    0.928,    0.907,    0.857,    0.906,    0.938,    0.956,    0.850,    0.910,    0.923,    0.848,    0.906,    0.920,      NaN,      NaN
048,    0.890,    0.885,    0.940,    0.875,    0.940,    0.929,    0.899,    0.970,    0.933,    0.908,    0.867,    0.913,    0.946,    0.962,    0.856,    0.914,    0.927,    0.849,    0.909,    0.927,      NaN,      NaN
048,    0.875,    0.877,    0.933,    0.865,    0.933,    0.928,    0.896,    0.969,    0.935,    0.901,    0.858,    0.912,    0.946,    0.959,    0.863,    0.913,    0.925,    0.844,    0.903,    0.923,      NaN,      NaN
048,    0.867,    0.876,    0.938,    0.865,    0.938,    0.925,    0.897,    0.970,    0.934,    0.903,    0.868,    0.919,    0.954,    0.966,    0.861,    0.916,    0.931,    0.843,    0.906,    0.930,      NaN,      NaN
048,    0.879,    0.876,    0.933,    0.867,    0.933,    0.918,    0.883,    0.972,    0.936,    0.898,    0.857,    0.906,    0.951,    0.963,    0.850,    0.913,    0.928,    0.829,    0.909,    0.925,      NaN,      NaN
048,    0.887,    0.880,    0.933,    0.872,    0.933,    0.922,    0.881,    0.972,    0.942,    0.896,    0.859,    0.901,    0.952,    0.964,    0.838,    0.911,    0.925,    0.836,    0.913,    0.925,      NaN,      NaN
048,    0.881,    0.877,    0.926,    0.867,    0.926,    0.917,    0.880,    0.970,    0.939,    0.895,    0.855,    0.896,    0.948,    0.962,    0.837,    0.906,    0.918,    0.827,    0.907,    0.924,      NaN,      NaN
