%Previsao,VTMP-925,VTMP-850,VTMP-500,TEMP-850,TEMP-500,TEMP-250,PSNM-000,UMES-925,UMES-850,UMES-500,AGPL-925,ZGEO-850,ZGEO-500,ZGEO-250,UVEL-850,UVEL-500,UVEL-250,VVEL-850,VVEL-500,VVEL-250,PREC-000,PREV-000
144,    4.370,    4.393,    3.505,    4.295,    3.477,    2.992,   10.062,    1.864,    2.038,    0.951,    6.828,   72.220,   84.894,  109.629,    6.354,    8.044,   11.516,    6.266,    8.517,   12.849,      NaN,      NaN
144,    4.474,    4.420,    3.432,    4.311,    3.400,    2.890,    9.769,    1.854,    2.056,    0.974,    6.958,   71.131,   84.164,  109.504,    6.508,    8.093,   11.695,    6.520,    8.686,   13.271,      NaN,      NaN
144,    4.663,    4.673,    3.542,    4.562,    3.509,    2.948,    9.592,    1.887,    2.075,    0.983,    7.068,   69.911,   85.573,  112.102,    6.647,    8.488,   11.909,    6.574,    8.819,   13.238,      NaN,      NaN
144,    4.393,    4.396,    3.417,    4.288,    3.389,    2.947,    9.541,    1.855,    2.091,    0.955,    6.931,   70.101,   84.892,  109.473,    6.901,    8.631,   11.545,    6.369,    8.346,   12.327,      NaN,      NaN
144,    4.330,    4.297,    3.386,    4.186,    3.358,    3.017,    9.228,    1.867,    2.099,    0.952,    7.033,   68.572,   84.338,  107.087,    6.963,    8.399,   11.332,    6.453,    8.319,   11.711,      NaN,      NaN
144,    4.109,    4.351,    3.428,    4.242,    3.400,    3.064,    9.081,    1.858,    2.098,    0.949,    7.057,   68.120,   86.759,  109.525,    6.963,    8.719,   11.852,    6.397,    8.830,   12.331,      NaN,      NaN
144,    4.223,    4.412,    3.535,    4.301,    3.508,    3.204,    9.407,    1.820,    2.150,    0.952,    7.220,   70.928,   91.239,  114.226,    6.978,    8.589,   11.742,    6.882,    9.639,   13.116,      NaN,      NaN
144,    4.146,    4.184,    3.232,    4.076,    3.208,    3.162,    8.701,    1.819,    2.145,    0.954,    7.067,   65.749,   83.707,  107.295,    6.866,    8.277,   11.362,    6.266,    9.006,   12.375,      NaN,      NaN
144,    3.902,    4.069,    3.265,    3.972,    3.242,    3.229,    8.537,    1.761,    2.160,    0.947,    6.972,   65.091,   82.895,  107.212,    6.796,    8.271,   11.466,    6.324,    8.851,   12.404,      NaN,      NaN
144,    3.899,    3.965,    3.289,    3.874,    3.269,    3.258,    8.434,    1.786,    2.161,    0.946,    6.873,   63.787,   80.496,  104.429,    6.751,    8.147,   11.469,    6.275,    8.709,   11.865,      NaN,      NaN
