%Previsao,VTMP-925,VTMP-850,VTMP-500,TEMP-850,TEMP-500,TEMP-250,PSNM-000,UMES-925,UMES-850,UMES-500,AGPL-925,ZGEO-850,ZGEO-500,ZGEO-250,UVEL-850,UVEL-500,UVEL-250,VVEL-850,VVEL-500,VVEL-250,PREC-000,PREV-000
048,    0.095,    0.213,   -0.121,    0.198,   -0.123,    0.026,   -0.353,    0.052,    0.093,    0.016,    0.266,   -2.050,   -3.828,   -3.821,    0.286,    0.085,   -0.482,   -0.076,   -0.005,   -0.022,      NaN,      NaN
048,    0.090,    0.174,   -0.112,    0.160,   -0.114,    0.081,   -0.326,    0.049,    0.083,    0.015,    0.273,   -1.919,   -3.826,   -3.314,    0.273,    0.108,   -0.516,   -0.138,    0.048,   -0.164,      NaN,      NaN
048,    0.180,    0.281,   -0.118,    0.260,   -0.121,    0.038,   -0.325,    0.089,    0.123,    0.020,    0.326,   -1.531,   -2.645,   -2.776,    0.272,    0.099,   -0.500,    0.001,    0.036,   -0.061,      NaN,      NaN
048,    0.019,    0.120,   -0.204,    0.105,   -0.207,    0.063,   -0.411,    0.030,    0.090,    0.022,    0.276,   -2.809,   -5.486,   -6.140,    0.183,    0.109,   -0.457,   -0.141,    0.047,   -0.037,      NaN,      NaN
048,    0.098,    0.201,   -0.182,    0.178,   -0.186,    0.044,   -0.357,    0.057,    0.135,    0.025,    0.339,   -2.000,   -3.993,   -4.583,    0.268,    0.114,   -0.462,   -0.122,    0.036,    0.039,      NaN,      NaN
048,    0.131,    0.182,   -0.213,    0.165,   -0.216,    0.158,   -0.361,    0.078,    0.103,    0.021,    0.348,   -1.871,   -4.511,   -3.548,    0.227,   -0.067,   -0.549,   -0.138,    0.070,   -0.018,      NaN,      NaN
048,    0.245,    0.282,   -0.199,    0.263,   -0.201,    0.148,   -0.443,    0.108,    0.115,    0.015,    0.344,   -2.130,   -4.502,   -3.921,    0.159,   -0.073,   -0.573,    0.065,    0.058,    0.082,      NaN,      NaN
048,    0.113,    0.183,   -0.219,    0.171,   -0.221,    0.206,   -0.425,    0.050,    0.074,    0.012,    0.277,   -2.478,   -5.329,   -4.711,    0.120,   -0.087,   -0.628,   -0.033,    0.111,    0.043,      NaN,      NaN
048,    0.110,    0.228,   -0.169,    0.215,   -0.170,    0.198,   -0.463,    0.060,    0.083,    0.013,    0.235,   -2.737,   -4.646,   -3.855,    0.128,   -0.068,   -0.497,   -0.002,    0.074,   -0.056,      NaN,      NaN
048,    0.101,    0.150,   -0.191,    0.148,   -0.192,    0.199,   -0.440,    0.036,    0.020,    0.010,    0.199,   -2.694,   -5.696,   -4.461,    0.143,   -0.042,   -0.691,   -0.042,    0.140,   -0.049,      NaN,      NaN
048,    0.198,    0.246,   -0.174,    0.240,   -0.176,    0.150,   -0.447,    0.056,    0.040,    0.016,    0.216,   -2.247,   -4.638,   -4.008,    0.159,   -0.103,   -0.596,   -0.073,    0.095,    0.008,      NaN,      NaN
048,    0.077,    0.092,   -0.211,    0.091,   -0.214,    0.141,   -0.369,    0.040,    0.013,    0.015,    0.198,   -2.066,   -5.459,   -4.474,    0.166,   -0.022,   -0.646,   -0.073,    0.105,   -0.142,      NaN,      NaN
048,    0.129,    0.121,   -0.211,    0.118,   -0.215,    0.185,   -0.485,    0.026,    0.031,    0.028,    0.197,   -2.741,   -6.149,   -5.527,    0.205,   -0.102,   -0.409,   -0.114,    0.102,   -0.008,      NaN,      NaN
048,    0.175,    0.115,   -0.292,    0.111,   -0.296,    0.111,   -0.474,    0.021,    0.033,    0.024,    0.258,   -2.630,   -6.669,   -7.068,    0.187,   -0.051,   -0.578,   -0.041,    0.067,    0.004,      NaN,      NaN
048,    0.240,    0.173,   -0.294,    0.168,   -0.298,    0.043,   -0.405,    0.054,    0.040,    0.028,    0.307,   -1.649,   -5.396,   -6.497,    0.150,   -0.135,   -0.550,   -0.063,    0.153,   -0.042,      NaN,      NaN
048,    0.113,    0.058,   -0.333,    0.053,   -0.337,    0.108,   -0.367,    0.011,    0.037,    0.030,    0.274,   -1.922,   -6.647,   -7.836,    0.180,   -0.087,   -0.655,   -0.117,    0.111,    0.084,      NaN,      NaN
048,    0.164,    0.099,   -0.223,    0.088,   -0.228,    0.084,   -0.327,    0.008,    0.070,    0.033,    0.307,   -1.402,   -4.794,   -5.357,    0.177,   -0.170,   -0.515,   -0.123,    0.069,    0.104,      NaN,      NaN
048,    0.220,    0.132,   -0.196,    0.129,   -0.200,    0.116,   -0.343,    0.028,    0.028,    0.028,    0.273,   -1.357,   -3.853,   -3.540,    0.052,   -0.050,   -0.559,   -0.094,    0.061,    0.037,      NaN,      NaN
048,    0.310,    0.281,   -0.145,    0.276,   -0.148,    0.077,   -0.329,    0.052,    0.040,    0.020,    0.287,   -0.687,   -2.453,   -1.606,    0.009,   -0.026,   -0.542,   -0.062,    0.057,    0.093,      NaN,      NaN
048,    0.152,    0.166,   -0.215,    0.163,   -0.219,    0.119,   -0.424,    0.010,    0.025,    0.027,    0.245,   -2.065,   -5.107,   -4.794,    0.115,   -0.042,   -0.595,   -0.087,    0.008,    0.122,      NaN,      NaN
048,    0.192,    0.260,   -0.170,    0.250,   -0.176,    0.032,   -0.314,    0.026,    0.068,    0.037,    0.328,   -0.896,   -3.230,   -3.640,    0.102,    0.017,   -0.419,   -0.061,    0.043,    0.034,      NaN,      NaN
048,    0.198,    0.236,   -0.253,    0.230,   -0.259,    0.023,   -0.334,    0.031,    0.042,    0.037,    0.374,   -1.130,   -4.171,   -5.323,    0.175,    0.071,   -0.636,   -0.022,    0.065,   -0.007,      NaN,      NaN
048,    0.260,    0.274,   -0.238,    0.266,   -0.243,    0.009,   -0.428,    0.055,    0.051,    0.038,    0.365,   -1.514,   -3.958,   -5.361,    0.165,   -0.059,   -0.438,   -0.033,    0.068,    0.037,      NaN,      NaN
048,    0.133,    0.132,   -0.253,    0.127,   -0.259,    0.036,   -0.424,    0.013,    0.035,    0.037,    0.281,   -2.042,   -5.000,   -6.168,    0.171,    0.025,   -0.428,   -0.026,    0.117,   -0.154,      NaN,      NaN
048,    0.125,    0.180,   -0.255,    0.169,   -0.261,    0.013,   -0.416,    0.011,    0.069,    0.041,    0.265,   -1.956,   -4.547,   -5.870,    0.224,    0.035,   -0.439,   -0.011,    0.077,   -0.163,      NaN,      NaN
048,    0.113,    0.065,   -0.301,    0.061,   -0.307,    0.100,   -0.311,   -0.000,    0.031,    0.037,    0.217,   -1.358,   -4.862,   -5.807,    0.254,    0.073,   -0.453,   -0.016,    0.053,   -0.119,      NaN,      NaN
048,    0.173,    0.199,   -0.288,    0.196,   -0.293,    0.142,   -0.441,    0.012,    0.028,    0.031,    0.192,   -1.997,   -5.210,   -6.603,    0.167,    0.103,   -0.293,    0.062,    0.094,   -0.089,      NaN,      NaN
048,    0.071,    0.136,   -0.270,    0.141,   -0.276,    0.228,   -0.415,   -0.032,   -0.016,    0.034,    0.134,   -2.250,   -5.679,   -6.178,    0.266,    0.106,   -0.409,   -0.101,    0.167,   -0.237,      NaN,      NaN
048,    0.088,    0.170,   -0.290,    0.170,   -0.296,    0.251,   -0.365,   -0.018,    0.011,    0.034,    0.165,   -1.878,   -4.974,   -5.997,    0.212,    0.102,   -0.251,   -0.161,    0.078,   -0.131,      NaN,      NaN
048,    0.067,    0.059,   -0.322,    0.062,   -0.327,    0.273,   -0.339,   -0.008,   -0.004,    0.034,    0.160,   -1.933,   -5.729,   -6.026,    0.287,    0.189,   -0.371,   -0.211,    0.119,   -0.160,      NaN,      NaN
048,    0.097,    0.120,   -0.267,    0.118,   -0.272,    0.217,   -0.451,   -0.004,    0.020,    0.028,    0.148,   -2.538,   -5.465,   -5.411,    0.279,    0.168,   -0.165,   -0.136,    0.065,   -0.104,      NaN,      NaN
048,    0.026,    0.021,   -0.218,    0.023,   -0.223,    0.250,   -0.442,   -0.025,   -0.002,    0.033,    0.109,   -2.843,   -6.235,   -6.012,    0.281,    0.215,   -0.526,   -0.161,    0.105,   -0.085,      NaN,      NaN
048,    0.022,    0.075,   -0.134,    0.074,   -0.140,    0.217,   -0.527,   -0.013,    0.019,    0.036,    0.141,   -3.492,   -5.799,   -4.678,    0.256,    0.178,   -0.290,   -0.115,    0.033,   -0.006,      NaN,      NaN
048,    0.077,    0.127,   -0.136,    0.130,   -0.141,    0.202,   -0.648,   -0.014,   -0.005,    0.035,    0.164,   -4.201,   -6.116,   -4.668,    0.313,    0.133,   -0.521,   -0.112,    0.048,   -0.028,      NaN,      NaN
048,    0.133,    0.228,   -0.132,    0.226,   -0.137,    0.283,   -0.596,    0.004,    0.019,    0.034,    0.185,   -3.454,   -4.989,   -3.044,    0.255,    0.110,   -0.336,   -0.036,   -0.059,    0.008,      NaN,      NaN
048,    0.043,    0.131,   -0.163,    0.132,   -0.168,    0.238,   -0.562,   -0.055,    0.002,    0.033,    0.139,   -3.674,   -6.160,   -4.677,    0.135,    0.062,   -0.456,   -0.004,   -0.031,    0.013,      NaN,      NaN
048,    0.037,    0.181,   -0.141,    0.182,   -0.147,    0.176,   -0.715,   -0.052,    0.002,    0.038,    0.126,   -4.773,   -7.247,   -5.458,    0.231,    0.067,   -0.389,    0.029,    0.039,    0.046,      NaN,      NaN
048,    0.118,    0.124,   -0.234,    0.129,   -0.238,    0.249,   -0.824,   -0.031,   -0.020,    0.033,    0.171,   -5.340,   -8.271,   -6.695,    0.201,    0.097,   -0.550,   -0.000,    0.047,   -0.102,      NaN,      NaN
048,    0.134,    0.199,   -0.203,    0.199,   -0.210,    0.207,   -0.963,   -0.022,    0.009,    0.045,    0.207,   -6.342,   -9.016,   -8.368,    0.221,   -0.040,   -0.488,    0.076,    0.010,    0.047,      NaN,      NaN
048,    0.073,    0.146,   -0.214,    0.147,   -0.220,    0.286,   -0.915,   -0.070,    0.001,    0.039,    0.176,   -6.248,   -9.068,   -8.299,    0.127,   -0.080,   -0.492,    0.016,    0.007,    0.068,      NaN,      NaN
048,    0.063,    0.170,   -0.204,    0.169,   -0.210,    0.226,   -0.813,   -0.074,    0.012,    0.041,    0.177,   -5.410,   -7.498,   -7.432,    0.220,   -0.125,   -0.507,   -0.004,   -0.010,    0.049,      NaN,      NaN
048,    0.121,    0.129,   -0.180,    0.130,   -0.187,    0.225,   -0.749,   -0.068,    0.006,    0.041,    0.222,   -4.621,   -6.856,   -5.999,    0.231,   -0.165,   -0.604,   -0.011,    0.085,   -0.058,      NaN,      NaN
048,    0.206,    0.228,   -0.174,    0.223,   -0.180,    0.167,   -0.823,   -0.023,    0.035,    0.037,    0.263,   -4.687,   -6.802,   -6.519,    0.197,   -0.146,   -0.700,   -0.033,    0.063,   -0.001,      NaN,      NaN
048,    0.090,    0.118,   -0.213,    0.120,   -0.219,    0.145,   -0.807,   -0.067,    0.001,    0.040,    0.220,   -5.213,   -8.044,   -7.980,    0.126,   -0.121,   -0.797,   -0.026,    0.084,   -0.014,      NaN,      NaN
048,    0.140,    0.216,   -0.175,    0.214,   -0.182,    0.085,   -0.663,   -0.048,    0.024,    0.042,    0.281,   -3.912,   -5.902,   -6.015,    0.143,   -0.133,   -0.695,   -0.049,    0.030,   -0.059,      NaN,      NaN
048,    0.074,    0.162,   -0.142,    0.164,   -0.149,    0.136,   -0.694,   -0.041,   -0.003,    0.050,    0.288,   -4.280,   -6.101,   -5.697,    0.209,   -0.252,   -0.706,   -0.064,   -0.049,   -0.071,      NaN,      NaN
048,    0.140,    0.250,   -0.129,    0.250,   -0.136,    0.157,   -0.752,   -0.021,    0.013,    0.043,    0.279,   -4.339,   -5.399,   -4.822,    0.127,   -0.116,   -0.724,   -0.018,    0.011,    0.037,      NaN,      NaN
048,    0.048,    0.156,   -0.100,    0.160,   -0.107,    0.192,   -0.801,   -0.050,   -0.013,    0.041,    0.265,   -5.191,   -6.151,   -4.677,    0.272,   -0.119,   -0.606,   -0.038,    0.035,    0.013,      NaN,      NaN
048,    0.086,    0.211,   -0.054,    0.209,   -0.061,    0.128,   -0.884,   -0.050,    0.018,    0.045,    0.282,   -5.623,   -5.989,   -4.027,    0.256,   -0.049,   -0.357,   -0.079,   -0.005,    0.121,      NaN,      NaN
048,    0.031,    0.090,   -0.076,    0.094,   -0.084,    0.176,   -0.758,   -0.041,   -0.009,    0.051,    0.284,   -4.929,   -6.138,   -3.905,    0.287,    0.004,   -0.423,   -0.012,   -0.003,    0.124,      NaN,      NaN
048,    0.104,    0.137,   -0.056,    0.135,   -0.064,    0.090,   -0.846,   -0.030,    0.020,    0.050,    0.279,   -5.347,   -6.092,   -4.365,    0.295,    0.043,   -0.286,   -0.056,    0.067,    0.118,      NaN,      NaN
048,   -0.017,    0.050,   -0.100,    0.047,   -0.107,    0.158,   -0.665,   -0.057,    0.028,    0.045,    0.284,   -4.579,   -5.880,   -3.774,    0.255,    0.044,   -0.574,   -0.121,    0.061,    0.055,      NaN,      NaN
048,    0.015,    0.108,   -0.094,    0.102,   -0.101,    0.137,   -0.794,   -0.052,    0.044,    0.045,    0.306,   -5.491,   -6.148,   -4.187,    0.310,   -0.014,   -0.397,   -0.074,   -0.061,    0.179,      NaN,      NaN
048,    0.009,    0.037,   -0.102,    0.038,   -0.108,    0.216,   -0.643,   -0.045,    0.005,    0.039,    0.257,   -4.455,   -5.563,   -3.219,    0.293,   -0.023,   -0.573,   -0.016,   -0.040,    0.104,      NaN,      NaN
048,    0.043,    0.104,   -0.059,    0.103,   -0.066,    0.165,   -0.622,   -0.045,    0.012,    0.040,    0.263,   -4.022,   -4.617,   -2.426,    0.173,   -0.069,   -0.464,    0.063,   -0.066,    0.136,      NaN,      NaN
048,   -0.067,    0.009,   -0.102,    0.013,   -0.108,    0.111,   -0.583,   -0.078,   -0.014,    0.038,    0.235,   -4.270,   -5.967,   -4.165,    0.139,   -0.070,   -0.537,   -0.032,   -0.078,    0.063,      NaN,      NaN
048,   -0.065,    0.037,   -0.056,    0.038,   -0.064,    0.089,   -0.579,   -0.074,    0.000,    0.049,    0.247,   -4.282,   -5.487,   -4.002,    0.188,    0.014,   -0.507,    0.036,   -0.010,   -0.066,      NaN,      NaN
048,   -0.112,   -0.032,   -0.102,   -0.028,   -0.111,    0.141,   -0.560,   -0.088,   -0.014,    0.054,    0.211,   -4.339,   -6.389,   -4.731,    0.205,    0.118,   -0.509,   -0.024,   -0.065,    0.069,      NaN,      NaN
048,   -0.048,    0.046,   -0.065,    0.043,   -0.073,    0.137,   -0.742,   -0.054,    0.026,    0.054,    0.228,   -5.334,   -6.360,   -4.496,    0.135,    0.053,   -0.343,    0.082,    0.027,   -0.061,      NaN,      NaN
048,   -0.073,    0.036,   -0.125,    0.036,   -0.132,    0.113,   -0.803,   -0.066,    0.011,    0.046,    0.179,   -5.844,   -7.085,   -5.758,    0.240,    0.102,   -0.515,    0.023,   -0.070,   -0.016,      NaN,      NaN
048,   -0.053,    0.133,   -0.086,    0.132,   -0.093,    0.131,   -0.711,   -0.068,    0.015,    0.043,    0.164,   -4.881,   -5.136,   -3.847,    0.221,    0.077,   -0.267,   -0.074,   -0.005,   -0.077,      NaN,      NaN
048,   -0.059,    0.095,   -0.068,    0.101,   -0.074,    0.140,   -0.811,   -0.069,   -0.028,    0.042,    0.112,   -5.746,   -6.614,   -4.823,    0.248,    0.125,   -0.342,   -0.023,    0.011,   -0.019,      NaN,      NaN
048,    0.009,    0.175,   -0.093,    0.176,   -0.100,    0.099,   -0.841,   -0.039,    0.001,    0.041,    0.142,   -5.494,   -6.410,   -5.358,    0.294,    0.138,   -0.095,    0.000,    0.033,   -0.040,      NaN,      NaN
048,   -0.066,    0.092,   -0.156,    0.100,   -0.163,    0.162,   -0.718,   -0.071,   -0.036,    0.045,    0.089,   -4.958,   -6.667,   -6.356,    0.280,    0.141,   -0.257,   -0.063,   -0.010,    0.132,      NaN,      NaN
048,   -0.043,    0.144,   -0.132,    0.149,   -0.138,    0.162,   -0.739,   -0.092,   -0.020,    0.037,    0.072,   -5.013,   -5.996,   -5.027,    0.303,    0.120,   -0.249,   -0.056,   -0.025,    0.109,      NaN,      NaN
048,   -0.051,    0.097,   -0.146,    0.108,   -0.152,    0.178,   -0.811,   -0.096,   -0.053,    0.038,    0.056,   -5.754,   -6.993,   -5.380,    0.301,    0.089,   -0.412,   -0.097,    0.013,    0.075,      NaN,      NaN
048,   -0.064,    0.127,   -0.180,    0.133,   -0.184,    0.165,   -0.726,   -0.064,   -0.030,    0.030,    0.077,   -5.002,   -6.503,   -5.927,    0.216,   -0.020,   -0.243,   -0.049,   -0.012,    0.100,      NaN,      NaN
048,   -0.194,   -0.011,   -0.213,    0.001,   -0.217,    0.213,   -0.593,   -0.093,   -0.058,    0.026,    0.031,   -4.596,   -6.925,   -6.213,    0.335,    0.125,   -0.385,   -0.044,   -0.045,    0.175,      NaN,      NaN
048,   -0.170,    0.019,   -0.154,    0.027,   -0.158,    0.210,   -0.624,   -0.059,   -0.037,    0.030,    0.074,   -4.709,   -6.042,   -5.778,    0.270,    0.115,   -0.048,    0.010,   -0.089,    0.089,      NaN,      NaN
048,   -0.088,    0.039,   -0.249,    0.044,   -0.253,    0.228,   -0.527,   -0.004,   -0.021,    0.028,    0.158,   -3.753,   -5.591,   -6.203,    0.326,    0.212,   -0.236,   -0.005,   -0.012,    0.035,      NaN,      NaN
048,   -0.101,    0.047,   -0.257,    0.048,   -0.261,    0.186,   -0.578,    0.025,    0.005,    0.029,    0.203,   -4.222,   -6.065,   -7.405,    0.316,    0.192,   -0.072,    0.065,   -0.065,    0.052,      NaN,      NaN
048,   -0.247,   -0.052,   -0.328,   -0.046,   -0.333,    0.223,   -0.521,   -0.030,   -0.021,    0.030,    0.147,   -4.499,   -7.782,   -9.221,    0.308,    0.224,   -0.293,    0.087,   -0.113,    0.044,      NaN,      NaN
048,   -0.197,    0.013,   -0.297,    0.014,   -0.303,    0.229,   -0.586,   -0.028,    0.007,    0.040,    0.199,   -4.795,   -7.651,   -8.408,    0.408,    0.206,   -0.127,    0.051,   -0.052,   -0.078,      NaN,      NaN
048,   -0.183,   -0.034,   -0.316,   -0.031,   -0.323,    0.284,   -0.508,   -0.014,   -0.009,    0.046,    0.219,   -4.163,   -7.778,   -8.354,    0.232,    0.304,   -0.190,    0.000,    0.064,   -0.063,      NaN,      NaN
048,   -0.115,    0.057,   -0.267,    0.054,   -0.274,    0.152,   -0.500,   -0.002,    0.028,    0.048,    0.250,   -3.750,   -6.799,   -7.194,    0.303,    0.182,   -0.303,    0.099,   -0.061,   -0.093,      NaN,      NaN
048,   -0.197,   -0.053,   -0.200,   -0.048,   -0.207,    0.212,   -0.438,   -0.056,   -0.021,    0.048,    0.174,   -3.784,   -6.866,   -5.768,    0.191,    0.185,   -0.376,    0.001,    0.024,    0.056,      NaN,      NaN
048,   -0.159,   -0.031,   -0.177,   -0.029,   -0.184,    0.205,   -0.379,   -0.042,   -0.000,    0.048,    0.158,   -3.199,   -5.992,   -4.925,    0.247,    0.193,   -0.296,   -0.178,   -0.030,    0.121,      NaN,      NaN
048,   -0.155,   -0.070,   -0.179,   -0.069,   -0.185,    0.257,   -0.256,   -0.048,    0.002,    0.042,    0.134,   -2.403,   -5.516,   -3.582,    0.142,    0.144,   -0.244,   -0.113,   -0.046,   -0.000,      NaN,      NaN
048,   -0.056,    0.036,   -0.142,    0.032,   -0.149,    0.270,   -0.283,   -0.003,    0.030,    0.048,    0.194,   -2.139,   -4.374,   -2.014,    0.195,    0.073,   -0.279,   -0.108,    0.005,    0.055,      NaN,      NaN
