      %Previsao,VTMP-925,VTMP-850,VTMP-500,TEMP-850,TEMP-500,TEMP-250,PSNM-000,UMES-925,UMES-850,UMES-500,AGPL-925,ZGEO-850,ZGEO-500,ZGEO-250,UVEL-850,UVEL-500,UVEL-250,VVEL-850,VVEL-500,VVEL-250,PREC-000,PREV-000
      072,    0.782,    0.765,    0.833,    0.744,    0.835,    0.853,    0.794,    0.961,    0.897,    0.836,    0.742,    0.820,    0.861,    0.889,    0.755,    0.835,    0.851,    0.717,    0.773,    0.796,      NaN,      NaN
      072,    0.810,    0.777,    0.825,    0.759,    0.826,    0.852,    0.812,    0.960,    0.900,    0.833,    0.737,    0.834,    0.858,    0.885,    0.746,    0.815,    0.850,    0.719,    0.771,    0.798,      NaN,      NaN
      072,    0.794,    0.782,    0.815,    0.763,    0.816,    0.849,    0.840,    0.958,    0.900,    0.826,    0.734,    0.861,    0.863,    0.880,    0.784,    0.822,    0.845,    0.756,    0.767,    0.790,      NaN,      NaN
      072,    0.783,    0.786,    0.840,    0.768,    0.840,    0.864,    0.837,    0.956,    0.898,    0.836,    0.749,    0.863,    0.873,    0.894,    0.787,    0.835,    0.867,    0.766,    0.783,    0.818,      NaN,      NaN
      072,    0.799,    0.784,    0.843,    0.768,    0.843,    0.866,    0.833,    0.956,    0.901,    0.844,    0.752,    0.854,    0.863,    0.889,    0.774,    0.821,    0.854,    0.759,    0.785,    0.816,      NaN,      NaN
      072,    0.819,    0.791,    0.854,    0.778,    0.854,    0.873,    0.823,    0.957,    0.913,    0.847,    0.765,    0.840,    0.865,    0.891,    0.753,    0.816,    0.843,    0.740,    0.801,    0.826,      NaN,      NaN
      072,    0.801,    0.781,    0.847,    0.765,    0.847,    0.873,    0.827,    0.956,    0.911,    0.838,    0.754,    0.848,    0.870,    0.890,    0.740,    0.806,    0.846,    0.732,    0.800,    0.831,      NaN,      NaN
      072,    0.781,    0.788,    0.878,    0.773,    0.878,    0.883,    0.835,    0.958,    0.910,    0.846,    0.779,    0.866,    0.905,    0.921,    0.769,    0.835,    0.861,    0.760,    0.831,    0.848,      NaN,      NaN
      072,    0.802,    0.799,    0.872,    0.786,    0.873,    0.873,    0.826,    0.961,    0.910,    0.838,    0.758,    0.858,    0.907,    0.924,    0.756,    0.841,    0.858,    0.747,    0.831,    0.832,      NaN,      NaN
      072,    0.824,    0.810,    0.875,    0.800,    0.876,    0.876,    0.830,    0.960,    0.917,    0.842,    0.769,    0.860,    0.916,    0.931,    0.739,    0.837,    0.871,    0.736,    0.839,    0.852,      NaN,      NaN
      072,    0.806,    0.801,    0.866,    0.789,    0.866,    0.871,    0.819,    0.960,    0.921,    0.842,    0.767,    0.849,    0.909,    0.928,    0.728,    0.834,    0.862,    0.722,    0.840,    0.861,      NaN,      NaN
      072,    0.802,    0.802,    0.872,    0.788,    0.872,    0.870,    0.839,    0.960,    0.919,    0.846,    0.784,    0.868,    0.918,    0.939,    0.736,    0.840,    0.874,    0.752,    0.852,    0.876,      NaN,      NaN
      072,    0.819,    0.808,    0.857,    0.795,    0.857,    0.866,    0.842,    0.961,    0.919,    0.845,    0.775,    0.864,    0.912,    0.931,    0.736,    0.836,    0.869,    0.767,    0.848,    0.869,      NaN,      NaN
      072,    0.832,    0.821,    0.852,    0.810,    0.852,    0.871,    0.854,    0.958,    0.918,    0.844,    0.761,    0.866,    0.904,    0.923,    0.747,    0.830,    0.859,    0.787,    0.844,    0.857,      NaN,      NaN
      072,    0.810,    0.817,    0.839,    0.803,    0.839,    0.866,    0.851,    0.957,    0.913,    0.843,    0.753,    0.858,    0.896,    0.914,    0.745,    0.825,    0.859,    0.789,    0.847,    0.857,      NaN,      NaN
