      %Previsao,VTMP-925,VTMP-850,VTMP-500,TEMP-850,TEMP-500,TEMP-250,PSNM-000,UMES-925,UMES-850,UMES-500,AGPL-925,ZGEO-850,ZGEO-500,ZGEO-250,UVEL-850,UVEL-500,UVEL-250,VVEL-850,VVEL-500,VVEL-250,PREC-000,PREV-000
      024,    1.444,    1.557,    0.818,    1.546,    0.818,    1.069,    2.983,    0.857,    1.029,    0.376,    2.468,   22.230,   21.617,   23.872,    2.322,    2.418,    3.378,    2.302,    2.418,    3.381,      NaN,      NaN
      024,    1.454,    1.566,    0.841,    1.547,    0.839,    1.038,    2.988,    0.823,    0.985,    0.347,    2.303,   22.324,   22.009,   24.583,    2.300,    2.557,    3.572,    2.241,    2.413,    3.597,      NaN,      NaN
      024,    1.462,    1.542,    0.832,    1.533,    0.831,    1.085,    3.071,    0.860,    1.013,    0.360,    2.416,   22.511,   22.233,   24.227,    2.203,    2.439,    3.619,    2.158,    2.446,    3.651,      NaN,      NaN
      024,    1.582,    1.602,    0.821,    1.584,    0.819,    1.060,    3.104,    0.858,    1.019,    0.353,    2.410,   22.274,   22.074,   24.189,    2.284,    2.385,    3.475,    2.187,    2.405,    3.574,      NaN,      NaN
      024,    1.509,    1.586,    0.816,    1.573,    0.813,    1.151,    3.100,    0.854,    1.065,    0.358,    2.509,   22.590,   23.269,   24.456,    2.291,    2.427,    3.448,    2.174,    2.501,    3.574,      NaN,      NaN
      024,    1.489,    1.558,    0.817,    1.543,    0.815,    1.098,    3.074,    0.849,    1.026,    0.354,    2.398,   22.342,   22.537,   24.195,    2.268,    2.451,    3.517,    2.264,    2.521,    3.593,      NaN,      NaN
      024,    1.508,    1.627,    0.828,    1.613,    0.829,    1.089,    3.310,    0.914,    1.070,    0.391,    2.560,   24.120,   24.172,   25.895,    2.351,    2.541,    3.673,    2.313,    2.630,    3.670,      NaN,      NaN
      024,    1.605,    1.674,    0.772,    1.660,    0.774,    1.070,    3.368,    0.879,    1.039,    0.386,    2.462,   24.010,   23.299,   24.494,    2.432,    2.484,    3.488,    2.434,    2.559,    3.464,      NaN,      NaN
      024,    1.540,    1.588,    0.808,    1.579,    0.807,    1.087,    3.202,    0.866,    1.079,    0.384,    2.592,   23.294,   22.878,   24.905,    2.334,    2.438,    3.345,    2.373,    2.559,    3.337,      NaN,      NaN
      024,    1.534,    1.539,    0.769,    1.530,    0.769,    1.092,    3.121,    0.838,    1.032,    0.362,    2.398,   22.487,   21.999,   23.445,    2.295,    2.509,    3.239,    2.222,    2.410,    3.270,      NaN,      NaN
      024,    1.538,    1.525,    0.779,    1.517,    0.779,    1.075,    3.196,    0.876,    1.064,    0.374,    2.437,   22.947,   22.224,   23.957,    2.177,    2.354,    3.427,    2.068,    2.350,    3.271,      NaN,      NaN
      024,    1.561,    1.537,    0.778,    1.529,    0.779,    1.054,    3.180,    0.906,    1.094,    0.357,    2.352,   22.442,   21.794,   23.511,    2.278,    2.468,    3.354,    2.072,    2.318,    3.218,      NaN,      NaN
      024,    1.489,    1.519,    0.785,    1.512,    0.784,    1.049,    3.041,    0.885,    1.056,    0.353,    2.415,   22.051,   22.069,   24.163,    2.182,    2.320,    3.293,    2.136,    2.385,    3.276,      NaN,      NaN
      024,    1.587,    1.522,    0.780,    1.512,    0.779,    1.014,    2.926,    0.857,    0.986,    0.348,    2.309,   21.366,   21.022,   23.824,    2.182,    2.238,    3.322,    2.149,    2.400,    3.273,      NaN,      NaN
      024,    1.630,    1.607,    0.837,    1.598,    0.836,    1.024,    3.164,    0.873,    1.010,    0.362,    2.425,   22.614,   22.118,   24.965,    2.233,    2.401,    3.424,    2.191,    2.434,    3.308,      NaN,      NaN
      024,    1.685,    1.619,    0.817,    1.607,    0.817,    1.058,    3.181,    0.868,    1.006,    0.359,    2.349,   22.210,   21.443,   23.572,    2.228,    2.397,    3.437,    2.124,    2.476,    3.368,      NaN,      NaN
      024,    1.574,    1.579,    0.861,    1.568,    0.861,    1.074,    3.222,    0.854,    0.989,    0.366,    2.425,   22.856,   21.901,   24.121,    2.240,    2.417,    3.360,    2.078,    2.393,    3.270,      NaN,      NaN
      024,    1.554,    1.530,    0.851,    1.516,    0.852,    1.030,    3.168,    0.845,    0.960,    0.358,    2.347,   22.398,   21.135,   23.838,    2.262,    2.320,    3.442,    2.173,    2.377,    3.329,      NaN,      NaN
      024,    1.618,    1.618,    0.800,    1.602,    0.802,    0.976,    3.392,    0.869,    1.001,    0.379,    2.485,   23.725,   22.513,   23.987,    2.226,    2.435,    3.388,    2.185,    2.382,    3.180,      NaN,      NaN
      024,    1.675,    1.636,    0.836,    1.620,    0.838,    1.028,    3.321,    0.865,    0.996,    0.376,    2.421,   22.847,   22.176,   24.087,    2.249,    2.322,    3.348,    2.159,    2.381,    3.215,      NaN,      NaN
      024,    1.640,    1.632,    0.865,    1.619,    0.866,    1.029,    3.326,    0.880,    1.007,    0.395,    2.498,   22.933,   22.308,   24.699,    2.154,    2.361,    3.407,    2.084,    2.418,    3.471,      NaN,      NaN
      024,    1.670,    1.631,    0.888,    1.621,    0.889,    1.002,    3.312,    0.869,    1.011,    0.369,    2.428,   22.780,   22.632,   25.185,    2.194,    2.394,    3.280,    2.312,    2.477,    3.324,      NaN,      NaN
      024,    1.653,    1.641,    0.897,    1.630,    0.897,    1.013,    3.585,    0.877,    1.013,    0.377,    2.464,   24.426,   23.855,   26.077,    2.211,    2.472,    3.498,    2.256,    2.555,    3.455,      NaN,      NaN
      024,    1.697,    1.634,    0.860,    1.619,    0.861,    1.002,    3.514,    0.877,    1.012,    0.382,    2.441,   23.862,   22.702,   24.684,    2.418,    2.574,    3.570,    2.252,    2.460,    3.383,      NaN,      NaN
      024,    1.550,    1.579,    0.873,    1.569,    0.874,    1.029,    3.593,    0.890,    1.033,    0.388,    2.523,   24.385,   23.261,   25.716,    2.317,    2.618,    3.605,    2.201,    2.443,    3.410,      NaN,      NaN
      024,    1.550,    1.545,    0.850,    1.542,    0.852,    1.027,    3.533,    0.894,    1.006,    0.369,    2.356,   23.991,   22.200,   24.799,    2.330,    2.444,    3.528,    2.133,    2.417,    3.476,      NaN,      NaN
      024,    1.536,    1.515,    0.853,    1.510,    0.855,    1.002,    3.840,    0.866,    1.012,    0.377,    2.444,   26.192,   24.157,   25.742,    2.196,    2.341,    3.415,    2.146,    2.469,    3.451,      NaN,      NaN
      024,    1.651,    1.617,    0.834,    1.602,    0.834,    1.027,    3.769,    0.853,    0.992,    0.363,    2.359,   25.376,   22.702,   24.327,    2.251,    2.429,    3.368,    2.159,    2.513,    3.380,      NaN,      NaN
      024,    1.544,    1.568,    0.865,    1.558,    0.866,    1.068,    3.595,    0.871,    1.036,    0.359,    2.462,   24.958,   23.035,   24.963,    2.184,    2.397,    3.474,    2.202,    2.457,    3.447,      NaN,      NaN
      024,    1.618,    1.607,    0.873,    1.597,    0.872,    1.008,    3.642,    0.862,    1.049,    0.359,    2.358,   24.950,   23.017,   24.322,    2.240,    2.405,    3.272,    2.094,    2.441,    3.213,      NaN,      NaN
      024,    1.537,    1.548,    0.910,    1.538,    0.910,    1.053,    3.877,    0.842,    1.008,    0.373,    2.407,   26.401,   23.745,   25.181,    2.312,    2.329,    3.219,    2.207,    2.456,    3.271,      NaN,      NaN
      024,    1.552,    1.565,    0.926,    1.549,    0.926,    1.068,    3.619,    0.834,    0.999,    0.368,    2.379,   24.614,   22.061,   24.396,    2.457,    2.343,    3.312,    2.304,    2.463,    3.294,      NaN,      NaN
      024,    1.494,    1.523,    0.912,    1.511,    0.912,    1.100,    3.577,    0.847,    1.034,    0.369,    2.450,   24.532,   22.550,   24.807,    2.343,    2.361,    3.405,    2.140,    2.429,    3.233,      NaN,      NaN
      024,    1.491,    1.487,    0.877,    1.479,    0.877,    1.098,    3.476,    0.857,    1.062,    0.359,    2.398,   23.618,   21.636,   23.745,    2.486,    2.471,    3.466,    2.234,    2.410,    3.258,      NaN,      NaN
      024,    1.506,    1.530,    0.839,    1.518,    0.839,    1.063,    3.592,    0.877,    1.060,    0.365,    2.398,   24.450,   22.426,   23.924,    2.248,    2.447,    3.348,    2.139,    2.376,    3.315,      NaN,      NaN
      024,    1.563,    1.577,    0.890,    1.567,    0.889,    1.062,    3.338,    0.860,    1.070,    0.347,    2.319,   22.763,   21.191,   23.100,    2.285,    2.367,    3.411,    2.094,    2.314,    3.321,      NaN,      NaN
      024,    1.508,    1.577,    0.946,    1.568,    0.946,    1.067,    3.597,    0.836,    1.054,    0.368,    2.433,   24.614,   22.196,   23.685,    2.274,    2.421,    3.545,    2.045,    2.283,    3.414,      NaN,      NaN
      024,    1.526,    1.598,    0.983,    1.584,    0.982,    1.078,    3.705,    0.854,    1.072,    0.353,    2.409,   25.131,   22.242,   23.808,    2.344,    2.558,    3.492,    2.188,    2.374,    3.380,      NaN,      NaN
      024,    1.488,    1.610,    0.958,    1.599,    0.958,    1.111,    3.783,    0.855,    1.067,    0.372,    2.485,   26.097,   22.860,   24.304,    2.377,    2.517,    3.555,    2.119,    2.508,    3.533,      NaN,      NaN
      024,    1.628,    1.634,    0.976,    1.621,    0.975,    1.062,    3.743,    0.881,    1.107,    0.363,    2.459,   25.231,   21.411,   22.870,    2.346,    2.340,    3.441,    2.216,    2.484,    3.484,      NaN,      NaN
      024,    1.553,    1.612,    1.011,    1.609,    1.011,    1.069,    3.690,    0.870,    1.111,    0.383,    2.528,   24.839,   21.401,   23.544,    2.278,    2.407,    3.660,    2.167,    2.407,    3.531,      NaN,      NaN
      024,    1.560,    1.565,    1.017,    1.562,    1.017,    1.042,    3.727,    0.847,    1.066,    0.361,    2.464,   24.948,   21.028,   24.335,    2.401,    2.377,    3.575,    2.188,    2.393,    3.394,      NaN,      NaN
      024,    1.570,    1.624,    0.989,    1.619,    0.989,    1.071,    4.123,    0.865,    1.089,    0.375,    2.536,   27.352,   23.111,   25.382,    2.370,    2.263,    3.533,    2.134,    2.298,    3.272,      NaN,      NaN
      024,    1.626,    1.677,    0.992,    1.671,    0.992,    1.039,    4.038,    0.842,    1.110,    0.373,    2.454,   26.180,   21.962,   23.503,    2.453,    2.488,    3.370,    2.228,    2.374,    3.290,      NaN,      NaN
      024,    1.576,    1.657,    1.067,    1.659,    1.067,    1.066,    3.874,    0.848,    1.123,    0.388,    2.513,   25.383,   22.134,   24.604,    2.344,    2.451,    3.586,    2.095,    2.518,    3.371,      NaN,      NaN
      024,    1.596,    1.679,    1.116,    1.678,    1.116,    1.085,    4.212,    0.835,    1.103,    0.365,    2.451,   27.324,   23.480,   25.730,    2.476,    2.601,    3.683,    2.249,    2.576,    3.563,      NaN,      NaN
      024,    1.663,    1.698,    1.168,    1.695,    1.169,    1.098,    4.419,    0.877,    1.108,    0.389,    2.592,   28.335,   23.647,   26.145,    2.423,    2.537,    3.739,    2.263,    2.580,    3.769,      NaN,      NaN
      024,    1.741,    1.802,    1.172,    1.789,    1.172,    1.098,    4.461,    0.872,    1.098,    0.380,    2.559,   27.980,   22.170,   23.871,    2.416,    2.430,    3.583,    2.283,    2.620,    3.581,      NaN,      NaN
      024,    1.702,    1.824,    1.138,    1.812,    1.137,    1.083,    4.402,    0.853,    1.099,    0.378,    2.560,   27.736,   22.490,   24.632,    2.463,    2.517,    3.655,    2.299,    2.555,    3.690,      NaN,      NaN
      024,    1.730,    1.860,    1.138,    1.843,    1.138,    1.027,    4.613,    0.863,    1.076,    0.383,    2.535,   28.616,   22.189,   24.234,    2.545,    2.523,    3.624,    2.353,    2.547,    3.538,      NaN,      NaN
      024,    1.739,    1.852,    1.102,    1.841,    1.102,    1.072,    5.092,    0.910,    1.085,    0.399,    2.644,   30.910,   23.264,   24.204,    2.411,    2.466,    3.420,    2.298,    2.550,    3.504,      NaN,      NaN
      024,    1.774,    1.894,    1.028,    1.882,    1.029,    1.068,    5.216,    0.884,    1.084,    0.383,    2.559,   31.472,   22.796,   23.947,    2.462,    2.442,    3.425,    2.371,    2.601,    3.486,      NaN,      NaN
      024,    1.745,    1.853,    0.981,    1.848,    0.983,    1.136,    5.414,    0.902,    1.076,    0.396,    2.649,   33.132,   24.444,   26.228,    2.435,    2.463,    3.577,    2.425,    2.558,    3.784,      NaN,      NaN
      024,    1.677,    1.763,    0.942,    1.755,    0.944,    1.100,    5.005,    0.891,    1.060,    0.385,    2.549,   30.973,   22.982,   24.912,    2.533,    2.573,    3.551,    2.355,    2.501,    3.484,      NaN,      NaN
      024,    1.635,    1.726,    0.860,    1.719,    0.861,    1.090,    5.106,    0.911,    1.050,    0.400,    2.589,   32.116,   24.688,   25.692,    2.498,    2.504,    3.570,    2.318,    2.512,    3.467,      NaN,      NaN
      024,    1.642,    1.683,    0.870,    1.674,    0.869,    1.078,    4.494,    0.889,    1.064,    0.376,    2.534,   29.369,   24.141,   25.362,    2.418,    2.416,    3.505,    2.259,    2.471,    3.426,      NaN,      NaN
      024,    1.511,    1.557,    0.874,    1.553,    0.873,    1.100,    4.189,    0.878,    1.087,    0.372,    2.522,   28.080,   24.170,   26.077,    2.285,    2.403,    3.510,    2.222,    2.459,    3.287,      NaN,      NaN
      024,    1.492,    1.542,    0.930,    1.535,    0.931,    1.071,    3.955,    0.857,    1.071,    0.361,    2.491,   26.810,   24.108,   26.092,    2.233,    2.403,    3.532,    2.171,    2.557,    3.392,      NaN,      NaN
      024,    1.476,    1.537,    0.981,    1.532,    0.981,    1.083,    3.881,    0.881,    1.049,    0.374,    2.573,   26.251,   23.621,   25.848,    2.230,    2.464,    3.561,    2.144,    2.477,    3.468,      NaN,      NaN
      024,    1.521,    1.541,    0.960,    1.530,    0.962,    1.028,    3.643,    0.876,    1.057,    0.362,    2.486,   24.554,   21.513,   23.018,    2.096,    2.295,    3.354,    2.038,    2.266,    3.298,      NaN,      NaN
      024,    1.715,    1.724,    1.011,    1.722,    1.011,    1.037,    3.919,    0.893,    1.092,    0.376,    2.604,   25.140,   21.454,   24.004,    2.141,    2.343,    3.365,    2.085,    2.353,    3.400,      NaN,      NaN
      024,    1.673,    1.711,    1.033,    1.705,    1.033,    1.006,    3.705,    0.865,    1.051,    0.381,    2.518,   23.961,   20.389,   22.666,    2.273,    2.282,    3.366,    2.198,    2.352,    3.356,      NaN,      NaN
      024,    1.508,    1.594,    1.071,    1.590,    1.071,    1.054,    4.092,    0.890,    1.055,    0.398,    2.606,   26.851,   22.130,   23.548,    2.231,    2.310,    3.603,    2.091,    2.399,    3.462,      NaN,      NaN
      024,    1.618,    1.696,    1.036,    1.684,    1.036,    1.051,    4.309,    0.903,    1.045,    0.372,    2.474,   27.662,   22.094,   23.322,    2.407,    2.381,    3.356,    2.270,    2.383,    3.366,      NaN,      NaN
      024,    1.538,    1.685,    1.050,    1.679,    1.049,    1.096,    4.625,    0.887,    1.045,    0.376,    2.529,   29.632,   22.792,   23.843,    2.378,    2.463,    3.516,    2.279,    2.433,    3.458,      NaN,      NaN
      024,    1.611,    1.776,    1.040,    1.762,    1.039,    1.082,    4.777,    0.864,    1.048,    0.369,    2.477,   30.301,   23.513,   24.789,    2.606,    2.660,    3.612,    2.298,    2.503,    3.577,      NaN,      NaN
      024,    1.579,    1.724,    0.939,    1.715,    0.940,    1.070,    4.857,    0.874,    1.065,    0.391,    2.561,   30.924,   23.545,   24.808,    2.493,    2.489,    3.443,    2.225,    2.407,    3.469,      NaN,      NaN
      024,    1.656,    1.739,    0.928,    1.727,    0.927,    1.087,    4.528,    0.866,    1.092,    0.369,    2.444,   29.160,   23.206,   24.335,    2.556,    2.471,    3.486,    2.302,    2.431,    3.698,      NaN,      NaN
      024,    1.584,    1.670,    0.902,    1.667,    0.902,    1.057,    4.187,    0.873,    1.092,    0.378,    2.501,   27.251,   22.446,   23.881,    2.371,    2.464,    3.602,    2.148,    2.350,    3.537,      NaN,      NaN
      024,    1.559,    1.664,    0.911,    1.661,    0.911,    1.059,    4.089,    0.867,    1.080,    0.364,    2.456,   26.690,   22.795,   23.869,    2.405,    2.504,    3.518,    2.193,    2.351,    3.452,      NaN,      NaN
      024,    1.521,    1.660,    0.894,    1.654,    0.894,    1.105,    4.176,    0.898,    1.091,    0.378,    2.538,   27.443,   24.439,   25.110,    2.354,    2.507,    3.676,    2.244,    2.492,    3.471,      NaN,      NaN
      024,    1.678,    1.742,    0.906,    1.727,    0.906,    1.104,    4.089,    0.917,    1.102,    0.374,    2.482,   26.758,   24.322,   25.709,    2.513,    2.605,    3.706,    2.343,    2.568,    3.590,      NaN,      NaN
      024,    1.565,    1.629,    0.892,    1.624,    0.892,    1.117,    4.032,    0.904,    1.099,    0.372,    2.527,   26.569,   23.386,   24.577,    2.324,    2.431,    3.646,    2.243,    2.480,    3.741,      NaN,      NaN
      024,    1.598,    1.694,    0.895,    1.686,    0.896,    1.108,    3.777,    0.901,    1.066,    0.352,    2.431,   24.883,   22.414,   23.717,    2.326,    2.444,    3.439,    2.275,    2.488,    3.558,      NaN,      NaN
      024,    1.547,    1.666,    0.878,    1.659,    0.879,    1.085,    3.589,    0.936,    1.113,    0.366,    2.580,   24.053,   21.956,   23.186,    2.149,    2.381,    3.499,    2.196,    2.552,    3.684,      NaN,      NaN
      024,    1.620,    1.715,    0.931,    1.702,    0.931,    1.124,    3.236,    0.955,    1.131,    0.371,    2.562,   22.246,   21.517,   23.911,    2.279,    2.442,    3.608,    2.241,    2.638,    3.872,      NaN,      NaN
      024,    1.564,    1.668,    0.946,    1.661,    0.946,    1.114,    3.297,    0.931,    1.123,    0.380,    2.628,   22.984,   22.135,   24.937,    2.273,    2.490,    3.646,    2.201,    2.538,    3.819,      NaN,      NaN
      024,    1.677,    1.791,    0.910,    1.782,    0.911,    1.100,    3.246,    0.910,    1.071,    0.363,    2.485,   22.824,   22.765,   24.246,    2.399,    2.580,    3.553,    2.231,    2.698,    3.632,      NaN,      NaN
      024,    1.570,    1.650,    0.859,    1.643,    0.861,    1.128,    3.303,    0.944,    1.115,    0.382,    2.640,   23.501,   22.681,   23.771,    2.389,    2.481,    3.610,    2.246,    2.580,    3.547,      NaN,      NaN
      024,    1.609,    1.627,    0.822,    1.621,    0.824,    1.137,    3.227,    0.938,    1.132,    0.386,    2.552,   23.074,   22.480,   23.247,    2.436,    2.554,    3.508,    2.292,    2.554,    3.354,      NaN,      NaN
      024,    1.580,    1.570,    0.820,    1.570,    0.822,    1.124,    3.129,    0.901,    1.090,    0.372,    2.517,   22.394,   21.618,   23.033,    2.158,    2.473,    3.370,    2.242,    2.391,    3.156,      NaN,      NaN
      024,    1.577,    1.571,    0.830,    1.567,    0.832,    1.062,    3.131,    0.887,    1.059,    0.356,    2.425,   22.474,   22.005,   23.702,    2.208,    2.499,    3.407,    2.269,    2.468,    3.302,      NaN,      NaN
      024,    1.519,    1.564,    0.845,    1.560,    0.848,    1.105,    3.115,    0.923,    1.062,    0.392,    2.543,   22.332,   22.113,   23.714,    2.133,    2.388,    3.385,    2.185,    2.524,    3.499,      NaN,      NaN
      024,    1.581,    1.575,    0.804,    1.569,    0.808,    1.042,    3.154,    0.924,    1.119,    0.377,    2.503,   22.165,   21.196,   22.761,    2.268,    2.421,    3.312,    2.123,    2.325,    3.305,      NaN,      NaN
      024,    1.573,    1.503,    0.829,    1.505,    0.831,    1.080,    3.022,    0.923,    1.120,    0.379,    2.554,   21.623,   21.385,   23.527,    2.198,    2.278,    3.291,    2.142,    2.348,    3.419,      NaN,      NaN
      024,    1.544,    1.524,    0.825,    1.519,    0.827,    1.093,    3.025,    0.915,    1.057,    0.362,    2.453,   21.732,   22.137,   23.740,    2.165,    2.450,    3.299,    2.189,    2.460,    3.461,      NaN,      NaN
      024,    1.535,    1.502,    0.820,    1.497,    0.821,    1.095,    3.190,    0.937,    1.085,    0.381,    2.542,   22.565,   22.227,   23.605,    2.192,    2.347,    3.131,    2.182,    2.465,    3.442,      NaN,      NaN
      024,    1.655,    1.589,    0.875,    1.581,    0.876,    1.047,    3.182,    0.942,    1.088,    0.360,    2.470,   21.821,   21.201,   23.039,    2.218,    2.285,    3.120,    2.195,    2.434,    3.376,      NaN,      NaN
