      %Previsao,VTMP-925,VTMP-850,VTMP-500,TEMP-850,TEMP-500,TEMP-250,PSNM-000,UMES-925,UMES-850,UMES-500,AGPL-925,ZGEO-850,ZGEO-500,ZGEO-250,UVEL-850,UVEL-500,UVEL-250,VVEL-850,VVEL-500,VVEL-250,PREC-000,PREV-000
      024,    0.090,    0.244,   -0.145,    0.230,   -0.145,    0.041,   -0.186,    0.086,    0.083,    0.004,    0.231,   -0.803,   -2.177,   -2.702,    0.208,    0.017,   -0.350,   -0.109,    0.036,   -0.004,      NaN,      NaN
      024,    0.036,    0.149,   -0.135,    0.140,   -0.135,    0.031,   -0.193,    0.061,    0.050,    0.001,    0.162,   -1.213,   -2.869,   -2.996,    0.257,    0.039,   -0.282,   -0.073,    0.084,   -0.097,      NaN,      NaN
      024,    0.094,    0.209,   -0.140,    0.197,   -0.141,    0.012,   -0.226,    0.077,    0.071,    0.004,    0.189,   -1.163,   -2.371,   -2.709,    0.241,    0.035,   -0.279,   -0.039,    0.023,   -0.057,      NaN,      NaN
      024,   -0.054,    0.077,   -0.165,    0.072,   -0.165,    0.026,   -0.253,    0.036,    0.031,    0.004,    0.169,   -1.943,   -3.760,   -4.252,    0.165,    0.090,   -0.299,   -0.026,    0.067,   -0.030,      NaN,      NaN
      024,    0.021,    0.146,   -0.138,    0.128,   -0.139,    0.007,   -0.282,    0.058,    0.107,    0.008,    0.259,   -1.787,   -3.087,   -3.876,    0.238,    0.056,   -0.247,   -0.022,   -0.044,   -0.006,      NaN,      NaN
      024,    0.068,    0.159,   -0.153,    0.145,   -0.155,    0.085,   -0.257,    0.071,    0.085,    0.014,    0.299,   -1.375,   -2.676,   -3.219,    0.247,    0.079,   -0.299,   -0.183,    0.093,   -0.093,      NaN,      NaN
      024,    0.152,    0.232,   -0.147,    0.210,   -0.149,    0.030,   -0.303,    0.102,    0.125,    0.014,    0.315,   -1.485,   -2.300,   -3.428,    0.224,    0.063,   -0.339,   -0.058,    0.032,    0.005,      NaN,      NaN
      024,    0.034,    0.164,   -0.153,    0.154,   -0.155,    0.068,   -0.303,    0.029,    0.060,    0.018,    0.239,   -1.908,   -3.161,   -3.617,    0.198,    0.045,   -0.360,   -0.105,    0.051,    0.034,      NaN,      NaN
      024,    0.065,    0.201,   -0.140,    0.184,   -0.142,    0.056,   -0.263,    0.044,    0.101,    0.019,    0.258,   -1.427,   -2.447,   -2.759,    0.240,    0.045,   -0.444,   -0.114,    0.021,    0.090,      NaN,      NaN
      024,    0.041,    0.136,   -0.166,    0.127,   -0.169,    0.109,   -0.294,    0.054,    0.053,    0.019,    0.217,   -1.703,   -3.409,   -2.704,    0.264,    0.007,   -0.424,   -0.137,    0.042,    0.032,      NaN,      NaN
      024,    0.120,    0.203,   -0.151,    0.194,   -0.154,    0.099,   -0.331,    0.076,    0.053,    0.017,    0.210,   -1.732,   -3.059,   -2.949,    0.148,    0.012,   -0.362,   -0.026,    0.057,    0.063,      NaN,      NaN
      024,   -0.023,    0.085,   -0.166,    0.080,   -0.168,    0.142,   -0.251,    0.028,    0.029,    0.015,    0.180,   -1.639,   -3.354,   -3.692,    0.224,    0.038,   -0.461,   -0.086,    0.084,    0.034,      NaN,      NaN
      024,    0.027,    0.148,   -0.145,    0.140,   -0.147,    0.132,   -0.334,    0.046,    0.048,    0.015,    0.187,   -2.078,   -3.273,   -3.695,    0.153,    0.024,   -0.260,   -0.095,    0.052,    0.013,      NaN,      NaN
