%Previsao,VTMP-925,VTMP-850,VTMP-500,TEMP-850,TEMP-500,TEMP-250,PSNM-000,UMES-925,UMES-850,UMES-500,AGPL-925,ZGEO-850,ZGEO-500,ZGEO-250,UVEL-850,UVEL-500,UVEL-250,VVEL-850,VVEL-500,VVEL-250,PREC-000,PREV-000
096,    0.718,    0.687,    0.738,    0.665,    0.739,    0.805,    0.743,    0.947,    0.880,    0.775,    0.659,    0.773,    0.783,    0.821,    0.694,    0.725,    0.768,    0.628,    0.651,    0.687,      NaN,      NaN
096,    0.740,    0.694,    0.708,    0.676,    0.710,    0.800,    0.735,    0.943,    0.882,    0.776,    0.640,    0.768,    0.780,    0.799,    0.665,    0.710,    0.748,    0.588,    0.649,    0.675,      NaN,      NaN
096,    0.712,    0.691,    0.699,    0.671,    0.701,    0.789,    0.748,    0.943,    0.886,    0.774,    0.632,    0.781,    0.786,    0.790,    0.663,    0.711,    0.740,    0.560,    0.630,    0.657,      NaN,      NaN
096,    0.687,    0.689,    0.742,    0.669,    0.743,    0.796,    0.745,    0.946,    0.886,    0.782,    0.658,    0.787,    0.816,    0.832,    0.653,    0.730,    0.768,    0.605,    0.683,    0.709,      NaN,      NaN
096,    0.702,    0.696,    0.734,    0.679,    0.736,    0.801,    0.726,    0.949,    0.890,    0.784,    0.654,    0.766,    0.807,    0.831,    0.649,    0.729,    0.757,    0.607,    0.689,    0.690,      NaN,      NaN
096,    0.747,    0.715,    0.755,    0.701,    0.757,    0.816,    0.716,    0.950,    0.897,    0.777,    0.655,    0.753,    0.816,    0.838,    0.636,    0.728,    0.769,    0.611,    0.718,    0.717,      NaN,      NaN
096,    0.737,    0.722,    0.764,    0.706,    0.765,    0.817,    0.736,    0.951,    0.898,    0.771,    0.650,    0.767,    0.824,    0.847,    0.629,    0.734,    0.767,    0.617,    0.710,    0.714,      NaN,      NaN
096,    0.718,    0.727,    0.777,    0.711,    0.779,    0.818,    0.756,    0.951,    0.899,    0.784,    0.673,    0.791,    0.850,    0.870,    0.635,    0.746,    0.790,    0.633,    0.731,    0.741,      NaN,      NaN
096,    0.748,    0.739,    0.763,    0.724,    0.765,    0.807,    0.774,    0.952,    0.898,    0.783,    0.672,    0.800,    0.849,    0.869,    0.641,    0.747,    0.780,    0.654,    0.742,    0.744,      NaN,      NaN
096,    0.776,    0.754,    0.764,    0.742,    0.765,    0.806,    0.798,    0.950,    0.900,    0.791,    0.680,    0.817,    0.852,    0.875,    0.630,    0.742,    0.795,    0.666,    0.754,    0.765,      NaN,      NaN
096,    0.751,    0.745,    0.766,    0.728,    0.766,    0.803,    0.790,    0.950,    0.893,    0.793,    0.676,    0.802,    0.841,    0.871,    0.608,    0.736,    0.790,    0.678,    0.769,    0.785,      NaN,      NaN
096,    0.726,    0.751,    0.783,    0.735,    0.784,    0.827,    0.798,    0.948,    0.890,    0.797,    0.675,    0.818,    0.852,    0.876,    0.660,    0.746,    0.801,    0.717,    0.783,    0.798,      NaN,      NaN
096,    0.759,    0.760,    0.751,    0.748,    0.752,    0.828,    0.784,    0.947,    0.884,    0.792,    0.642,    0.796,    0.830,    0.842,    0.635,    0.734,    0.773,    0.707,    0.768,    0.774,      NaN,      NaN
096,    0.783,    0.770,    0.737,    0.758,    0.739,    0.819,    0.771,    0.945,    0.880,    0.778,    0.620,    0.775,    0.815,    0.819,    0.610,    0.724,    0.765,    0.708,    0.756,    0.755,      NaN,      NaN
096,    0.744,    0.747,    0.704,    0.731,    0.704,    0.796,    0.743,    0.948,    0.881,    0.772,    0.634,    0.755,    0.806,    0.809,    0.631,    0.732,    0.767,    0.687,    0.739,    0.731,      NaN,      NaN
096,    0.729,    0.741,    0.715,    0.726,    0.715,    0.787,    0.738,    0.950,    0.883,    0.785,    0.665,    0.757,    0.818,    0.826,    0.633,    0.758,    0.790,    0.696,    0.737,    0.747,      NaN,      NaN
096,    0.759,    0.754,    0.718,    0.740,    0.718,    0.786,    0.729,    0.953,    0.880,    0.789,    0.680,    0.745,    0.818,    0.832,    0.655,    0.767,    0.801,    0.670,    0.738,    0.761,      NaN,      NaN
096,    0.790,    0.767,    0.752,    0.753,    0.752,    0.783,    0.709,    0.953,    0.887,    0.795,    0.702,    0.737,    0.834,    0.862,    0.652,    0.776,    0.821,    0.707,    0.767,    0.803,      NaN,      NaN
096,    0.780,    0.770,    0.776,    0.754,    0.776,    0.783,    0.684,    0.956,    0.891,    0.805,    0.708,    0.729,    0.845,    0.878,    0.641,    0.773,    0.824,    0.695,    0.779,    0.817,      NaN,      NaN
096,    0.763,    0.768,    0.796,    0.753,    0.797,    0.788,    0.668,    0.954,    0.883,    0.803,    0.699,    0.721,    0.855,    0.883,    0.646,    0.783,    0.828,    0.696,    0.792,    0.821,      NaN,      NaN
096,    0.789,    0.779,    0.821,    0.764,    0.821,    0.812,    0.690,    0.956,    0.880,    0.805,    0.696,    0.745,    0.875,    0.891,    0.699,    0.811,    0.837,    0.725,    0.812,    0.833,      NaN,      NaN
