%Previsao,VTMP-925,VTMP-850,VTMP-500,TEMP-850,TEMP-500,TEMP-250,PSNM-000,UMES-925,UMES-850,UMES-500,AGPL-925,ZGEO-850,ZGEO-500,ZGEO-250,UVEL-850,UVEL-500,UVEL-250,VVEL-850,VVEL-500,VVEL-250,PREC-000,PREV-000
072,    0.102,    0.260,   -0.078,    0.246,   -0.079,    0.093,   -0.383,    0.034,    0.086,    0.009,    0.246,   -2.138,   -3.682,   -2.240,    0.331,    0.029,   -0.743,   -0.120,    0.013,   -0.034,      NaN,      NaN
072,    0.108,    0.194,   -0.095,    0.185,   -0.096,    0.117,   -0.391,    0.050,    0.063,    0.010,    0.264,   -2.257,   -4.298,   -2.024,    0.355,   -0.092,   -0.811,   -0.126,    0.050,   -0.086,      NaN,      NaN
072,    0.238,    0.319,   -0.116,    0.306,   -0.117,    0.097,   -0.412,    0.091,    0.085,    0.003,    0.317,   -1.902,   -3.789,   -2.676,    0.192,   -0.074,   -0.722,    0.037,    0.082,   -0.033,      NaN,      NaN
072,    0.085,    0.141,   -0.263,    0.129,   -0.262,    0.125,   -0.397,    0.045,    0.075,   -0.002,    0.291,   -2.483,   -6.548,   -7.219,    0.175,   -0.065,   -0.692,   -0.030,    0.081,    0.034,      NaN,      NaN
072,    0.149,    0.260,   -0.239,    0.243,   -0.239,    0.119,   -0.491,    0.065,    0.102,    0.005,    0.326,   -2.834,   -5.887,   -6.343,    0.203,   -0.039,   -0.595,    0.028,    0.035,   -0.008,      NaN,      NaN
072,    0.151,    0.174,   -0.213,    0.167,   -0.214,    0.203,   -0.441,    0.046,    0.045,    0.010,    0.323,   -2.652,   -6.525,   -5.093,    0.160,   -0.195,   -0.826,    0.010,    0.074,   -0.022,      NaN,      NaN
072,    0.228,    0.255,   -0.179,    0.246,   -0.182,    0.176,   -0.505,    0.067,    0.059,    0.016,    0.311,   -2.710,   -5.972,   -4.766,    0.090,   -0.208,   -0.824,    0.060,    0.015,   -0.009,      NaN,      NaN
072,    0.171,    0.217,   -0.246,    0.216,   -0.248,    0.171,   -0.472,    0.048,    0.014,    0.010,    0.246,   -2.535,   -6.894,   -5.262,    0.109,   -0.140,   -0.857,   -0.020,    0.046,   -0.168,      NaN,      NaN
072,    0.193,    0.210,   -0.224,    0.207,   -0.226,    0.220,   -0.545,    0.037,    0.028,    0.017,    0.212,   -2.935,   -6.886,   -5.220,    0.212,   -0.190,   -0.693,   -0.068,    0.025,    0.045,      NaN,      NaN
072,    0.243,    0.197,   -0.305,    0.200,   -0.307,    0.147,   -0.565,    0.017,   -0.004,    0.014,    0.201,   -2.987,   -7.846,   -6.708,    0.282,   -0.112,   -0.906,   -0.082,   -0.011,    0.088,      NaN,      NaN
