      %Previsao,VTMP-925,VTMP-850,VTMP-500,TEMP-850,TEMP-500,TEMP-250,PSNM-000,UMES-925,UMES-850,UMES-500,AGPL-925,ZGEO-850,ZGEO-500,ZGEO-250,UVEL-850,UVEL-500,UVEL-250,VVEL-850,VVEL-500,VVEL-250,PREC-000,PREV-000
      120,    0.627,    0.601,    0.586,    0.578,    0.589,    0.747,    0.608,    0.939,    0.877,    0.729,    0.576,    0.649,    0.705,    0.729,    0.565,    0.644,    0.669,    0.464,    0.573,    0.564,      NaN,      NaN
      120,    0.665,    0.619,    0.580,    0.600,    0.584,    0.758,    0.628,    0.937,    0.876,    0.725,    0.551,    0.664,    0.726,    0.726,    0.551,    0.643,    0.670,    0.471,    0.564,    0.535,      NaN,      NaN
      120,    0.608,    0.591,    0.593,    0.567,    0.596,    0.768,    0.633,    0.942,    0.883,    0.716,    0.550,    0.667,    0.732,    0.740,    0.532,    0.648,    0.663,    0.463,    0.565,    0.528,      NaN,      NaN
      120,    0.604,    0.628,    0.658,    0.608,    0.660,    0.768,    0.616,    0.942,    0.881,    0.736,    0.583,    0.652,    0.745,    0.772,    0.540,    0.653,    0.695,    0.497,    0.619,    0.600,      NaN,      NaN
      120,    0.637,    0.641,    0.671,    0.622,    0.673,    0.760,    0.625,    0.943,    0.885,    0.743,    0.592,    0.650,    0.735,    0.776,    0.512,    0.642,    0.699,    0.533,    0.643,    0.611,      NaN,      NaN
      120,    0.721,    0.693,    0.666,    0.679,    0.668,    0.770,    0.642,    0.942,    0.888,    0.746,    0.591,    0.656,    0.740,    0.779,    0.519,    0.634,    0.691,    0.536,    0.656,    0.643,      NaN,      NaN
      120,    0.689,    0.688,    0.646,    0.670,    0.649,    0.764,    0.667,    0.940,    0.880,    0.739,    0.579,    0.673,    0.740,    0.775,    0.514,    0.647,    0.700,    0.537,    0.639,    0.643,      NaN,      NaN
      120,    0.658,    0.696,    0.689,    0.681,    0.691,    0.773,    0.708,    0.940,    0.872,    0.739,    0.582,    0.717,    0.765,    0.797,    0.511,    0.633,    0.703,    0.598,    0.679,    0.688,      NaN,      NaN
      120,    0.701,    0.708,    0.678,    0.696,    0.680,    0.756,    0.712,    0.942,    0.868,    0.729,    0.572,    0.716,    0.753,    0.778,    0.507,    0.615,    0.694,    0.593,    0.674,    0.689,      NaN,      NaN
      120,    0.740,    0.722,    0.677,    0.709,    0.679,    0.736,    0.702,    0.939,    0.872,    0.736,    0.581,    0.704,    0.748,    0.765,    0.533,    0.629,    0.691,    0.573,    0.665,    0.672,      NaN,      NaN
