      %Previsao,VTMP-925,VTMP-850,VTMP-500,TEMP-850,TEMP-500,TEMP-250,PSNM-000,UMES-925,UMES-850,UMES-500,AGPL-925,ZGEO-850,ZGEO-500,ZGEO-250,UVEL-850,UVEL-500,UVEL-250,VVEL-850,VVEL-500,VVEL-250,PREC-000,PREV-000
      048,    2.363,    2.516,    1.432,    2.480,    1.421,    1.817,    4.645,    1.208,    1.531,    0.588,    3.993,   33.289,   35.335,   40.460,    3.658,    4.056,    5.880,    3.631,    4.326,    5.951,      NaN,      NaN
      048,    2.305,    2.520,    1.435,    2.484,    1.424,    1.803,    4.636,    1.178,    1.505,    0.578,    3.932,   33.611,   36.933,   41.813,    3.671,    4.247,    5.976,    3.585,    4.323,    5.934,      NaN,      NaN
      048,    2.331,    2.539,    1.446,    2.499,    1.439,    1.779,    4.527,    1.195,    1.535,    0.608,    4.096,   32.694,   37.054,   42.183,    3.628,    4.226,    5.952,    3.454,    4.346,    5.836,      NaN,      NaN
      048,    2.326,    2.502,    1.352,    2.467,    1.347,    1.733,    4.470,    1.212,    1.528,    0.590,    4.007,   31.585,   35.603,   40.398,    3.573,    3.979,    5.551,    3.558,    4.241,    5.779,      NaN,      NaN
      048,    2.249,    2.457,    1.388,    2.426,    1.383,    1.734,    4.447,    1.222,    1.531,    0.590,    4.085,   31.953,   36.322,   41.296,    3.572,    4.016,    5.406,    3.509,    4.347,    5.698,      NaN,      NaN
      048,    2.290,    2.417,    1.366,    2.391,    1.360,    1.715,    4.475,    1.218,    1.493,    0.587,    4.002,   32.114,   36.218,   41.297,    3.540,    4.042,    5.384,    3.402,    4.215,    5.642,      NaN,      NaN
      048,    2.343,    2.497,    1.406,    2.465,    1.400,    1.711,    4.511,    1.267,    1.518,    0.604,    4.153,   32.310,   37.106,   43.383,    3.435,    4.051,    5.547,    3.250,    4.218,    5.715,      NaN,      NaN
      048,    2.374,    2.453,    1.305,    2.424,    1.304,    1.626,    4.370,    1.248,    1.492,    0.564,    3.818,   30.431,   33.415,   38.351,    3.457,    4.002,    5.328,    3.213,    3.844,    5.175,      NaN,      NaN
      048,    2.371,    2.443,    1.274,    2.417,    1.271,    1.602,    4.190,    1.239,    1.497,    0.559,    3.805,   29.579,   33.397,   38.433,    3.436,    3.916,    5.412,    3.134,    3.781,    5.213,      NaN,      NaN
      048,    2.411,    2.354,    1.242,    2.330,    1.238,    1.572,    4.021,    1.215,    1.450,    0.551,    3.657,   28.484,   31.527,   36.159,    3.343,    3.803,    5.288,    3.054,    3.709,    5.030,      NaN,      NaN
      048,    2.478,    2.457,    1.323,    2.432,    1.318,    1.556,    4.172,    1.217,    1.427,    0.568,    3.766,   29.178,   32.127,   38.406,    3.317,    3.835,    5.276,    3.129,    3.812,    5.074,      NaN,      NaN
      048,    2.469,    2.444,    1.284,    2.416,    1.279,    1.596,    4.179,    1.208,    1.432,    0.562,    3.614,   28.243,   30.288,   35.748,    3.358,    3.759,    5.131,    3.139,    3.752,    4.946,      NaN,      NaN
      048,    2.434,    2.476,    1.362,    2.444,    1.357,    1.641,    4.473,    1.182,    1.409,    0.580,    3.765,   30.465,   31.782,   37.848,    3.484,    3.819,    5.237,    3.273,    3.699,    5.083,      NaN,      NaN
      048,    2.490,    2.466,    1.410,    2.428,    1.405,    1.599,    4.549,    1.173,    1.354,    0.580,    3.734,   31.258,   32.057,   38.926,    3.584,    3.832,    5.384,    3.287,    3.671,    5.183,      NaN,      NaN
      048,    2.483,    2.497,    1.482,    2.465,    1.477,    1.653,    4.724,    1.207,    1.393,    0.577,    3.793,   32.644,   33.651,   40.149,    3.557,    3.944,    5.549,    3.451,    3.879,    5.246,      NaN,      NaN
      048,    2.441,    2.403,    1.505,    2.371,    1.502,    1.657,    4.534,    1.200,    1.398,    0.576,    3.774,   30.627,   32.662,   38.395,    3.460,    3.987,    5.543,    3.312,    3.939,    5.377,      NaN,      NaN
      048,    2.484,    2.502,    1.573,    2.472,    1.570,    1.739,    4.492,    1.216,    1.411,    0.582,    3.858,   30.753,   33.553,   39.692,    3.329,    3.966,    5.345,    3.249,    4.001,    5.396,      NaN,      NaN
      048,    2.447,    2.388,    1.524,    2.361,    1.521,    1.637,    4.430,    1.200,    1.416,    0.572,    3.812,   30.357,   33.259,   38.716,    3.250,    3.763,    5.075,    3.248,    3.889,    5.373,      NaN,      NaN
