      %Previsao,VTMP-925,VTMP-850,VTMP-500,TEMP-850,TEMP-500,TEMP-250,PSNM-000,UMES-925,UMES-850,UMES-500,AGPL-925,ZGEO-850,ZGEO-500,ZGEO-250,UVEL-850,UVEL-500,UVEL-250,VVEL-850,VVEL-500,VVEL-250,PREC-000,PREV-000
      096,    0.173,    0.277,   -0.101,    0.272,   -0.098,    0.123,   -0.531,    0.052,    0.042,   -0.013,    0.213,   -3.117,   -5.148,   -3.775,    0.283,   -0.049,   -0.771,    0.058,   -0.012,    0.063,      NaN,      NaN
      096,    0.141,    0.164,   -0.094,    0.164,   -0.094,    0.128,   -0.469,    0.039,    0.010,    0.000,    0.237,   -3.014,   -5.907,   -3.513,    0.282,   -0.077,   -0.849,    0.085,    0.041,    0.078,      NaN,      NaN
      096,    0.259,    0.263,   -0.213,    0.254,   -0.213,    0.125,   -0.439,    0.077,    0.057,    0.004,    0.304,   -2.142,   -5.871,   -5.127,    0.109,   -0.048,   -0.874,    0.090,   -0.038,    0.120,      NaN,      NaN
      096,    0.080,    0.081,   -0.384,    0.080,   -0.384,    0.076,   -0.413,    0.043,    0.019,    0.003,    0.273,   -2.639,   -9.127,   -9.636,    0.133,    0.092,   -0.673,    0.039,    0.021,   -0.083,      NaN,      NaN
      096,    0.140,    0.139,   -0.383,    0.137,   -0.385,    0.152,   -0.594,    0.039,    0.022,    0.017,    0.262,   -3.624,   -9.517,   -9.918,    0.215,    0.039,   -0.609,    0.005,    0.023,    0.141,      NaN,      NaN
      096,    0.248,    0.208,   -0.400,    0.212,   -0.403,    0.165,   -0.677,    0.006,   -0.015,    0.024,    0.270,   -3.886,   -9.729,   -9.241,    0.310,    0.039,   -0.806,   -0.015,    0.024,    0.098,      NaN,      NaN
      096,    0.388,    0.335,   -0.361,    0.336,   -0.365,    0.086,   -0.743,    0.046,    0.006,    0.028,    0.304,   -3.591,   -8.523,   -9.030,    0.170,    0.019,   -0.774,   -0.019,    0.055,    0.021,      NaN,      NaN
      096,    0.292,    0.264,   -0.414,    0.266,   -0.417,    0.124,   -0.566,    0.010,   -0.004,    0.019,    0.227,   -2.526,   -8.739,   -9.602,    0.260,    0.005,   -1.049,   -0.100,   -0.017,    0.199,      NaN,      NaN
      096,    0.328,    0.273,   -0.268,    0.270,   -0.270,    0.066,   -0.562,    0.022,    0.029,    0.019,    0.243,   -2.316,   -6.883,   -7.573,    0.215,   -0.012,   -0.904,   -0.104,   -0.070,    0.125,      NaN,      NaN
      096,    0.330,    0.188,   -0.281,    0.188,   -0.282,    0.074,   -0.521,    0.009,    0.011,    0.011,    0.232,   -2.266,   -6.953,   -7.518,    0.127,    0.077,   -1.006,   -0.120,   -0.001,    0.185,      NaN,      NaN
